"Students Sets","Subject","Teachers","Total Duration"
"TACS 1º Período","TACS001 - POLiTICAS DE SAuDE I","Dione Maria Menz","2"
"TACS 1º Período","TACS002 - PROCESSO DE TRABALHO EM SAuDE","Izabel do Rocio Costa Ferreira","2"
"TACS 1º Período","TACS003 - Processo Saude-Doenca","Izabel do Rocio Costa Ferreira","3"
"TACS 1º Período","TACS004 - Fundamentos Epidemiologicos para o Trabalho no Territorio","Terezinha Maria Mafioletti","4"
"TACS 1º Período","TACS005 - etica e Legislacao Profissional","Christian Mendez Alcantara","2"
"TACS 1º Período","TACS006 - Promocao da Saude","Silvia Cristina Sprengel de Alencar","4"
"TACS 1º Período","TACS007 - Educacao em Saude I","Izabel do Rocio Costa Ferreira","2"
"TACS 1º Período","TACS008 - Português Instrumental","Marly de Castro Campos Coati","2"
"TACS 3º Período","TACS016 - Vigilancia a Saude da Mulher","Terezinha Maria Mafioletti","2"
"TACS 3º Período","TACS017 - Vigilancia a Saude da Crianca e do Adolescente","Dione Maria Menz","2"
"TACS 3º Período","TACS018 - Vigilancia a Saude do Homem","Silvia Cristina Sprengel de Alencar","2"
"TACS 3º Período","TACS019 - Vigilancia a Saude do Idoso","Izabel do Rocio Costa Ferreira","2"
"TACS 3º Período","TACS020 - Saude Mental","Dione Maria Menz","2"
"TACS 3º Período","TACS021 - Saude Bucal","Luci Regina Panka Archegas","4"
"TACS 3º Período","TACS022 - Projetos II","Savio Marcelo Leite Moreira da Silva","4"
"TADS D 1º Periodo","DS010 - Administração de Sistemas","Mauro Castro","2"
"TADS D 1º Periodo","DS011 - Introdução a arquitetura de computadores","Pedro Rodrigues Torres Junior","4"
"TADS D 1º Periodo","DS110 - Projetos de Algoritmos e Prática de Programação","Luiz Antonio Passos Cardoso","4"
"TADS D 1º Periodo","DS110 - Projetos de Algoritmos e Prática de Programação","Mario de Paula Soares Filho","2"
"TADS D 1º Periodo","DS210 - Engenharia de requisitos","Rafaela Mantovani Fontana","3"
"TADS D 1º Periodo","DS211 - Sistemas de Informação","Mario de Paula Soares Filho","2"
"TADS D 1º Periodo","DS611 - Estatística para computação","Prof. Engenharia Civil","2"
"TADS D 1º Periodo","DS612 - Matemática para Computação","Cicero Osvaldo Coati","4"
"TADS D 3° Periodo","TI150 - Gestao de Empresas e Empreendedorismo","Paulo Eduardo Sobreira Moraes","4"
"TADS D 3° Periodo","TI151 - Psicologia e Relacoes Interpessoais nas Organizacoes","Maria Valéria da Costa","4"
"TADS D 3º Periodo TADS_D_3_LAB","TI107 - Introducao ao Banco de Dados","","2"
"TADS D 3º Periodo TADS_D_3_SALA","TI107 - Introducao ao Banco de Dados","Jeroniza Nunes Marchaukoski","2"
"TADS D 3º Periodo TADS_D_3_SALA","TI108 - Estrutura de Dados","Andreia de Jesus","4"
"TADS D 3º Periodo TADS_D_3_SALA","TI142 - Implemantacao de Aplicacao para Computador","Luiz Antonio Pereira Neves","5"
"TADS D 3º Periodo TADS_D_3_SALA","TI161 - Desenvolvimento de Aplicacoes para WEB I","Alexander Robert Kutzke","4"
"TADS D 4º Periodo","TI027 - Pratica de Algoritimos","João Eugênio Marynowski","2"
"TADS D 5º Periodo","TI146 - Qualidade de Software","Rafaela Mantovani Fontana","2"
"TADS D 5º Periodo","TI148 - Inteligencia Computacional Aplicada","Roberto Tadeu Raittz","4"
"TADS D 5º Periodo","TI156 - Topicos de Banco de Dados","Dieval Guizelini","4"
"TADS D 5º Periodo","TI160 - Ergonomia das Interfaces de Aplicacoes","Sandramara Scandelari Kusano de Paula","4"
"TADS D 5º Periodo","TI162 - Desenvolvimento de Aplicacoes Corporativas","Razer Anthom Nizer Rojas Montano","4"
"TADS D 5º Periodo","TI167 - Desenvolvimento de Aplicacoes para WEB II","Razer Anthom Nizer Rojas Montano","4"
"TADS N 1º Periodo","DS010 - Administração de Sistemas","Mauro Castro","4"
"TADS N 1º Periodo","DS011 - Introdução a arquitetura de computadores","Pedro Rodrigues Torres Junior","4"
"TADS N 1º Periodo","DS110 - Projetos de Algoritmos e Prática de Programação","Luiz Antonio Passos Cardoso","4"
"TADS N 1º Periodo","DS110 - Projetos de Algoritmos e Prática de Programação","Mario de Paula Soares Filho","2"
"TADS N 1º Periodo","DS210 - Engenharia de requisitos","Rafaela Mantovani Fontana","3"
"TADS N 1º Periodo","DS211 - Sistemas de Informação","Mario de Paula Soares Filho","2"
"TADS N 1º Periodo","DS611 - Estatística para computação","Prof. Engenharia Civil","2"
"TADS N 1º Periodo","DS612 - Matemática para Computação","Cicero Osvaldo Coati","4"
"TADS N 2º Periodo","TI106 - Modelagem de Dados","João Eugênio Marynowski","2"
"TADS N 2º Periodo","TI134 - Estatistica Aplicada","Prof. Engenharia Civil","3"
"TADS N 2º Periodo","TI144 - Metodologia Estruturada para Modelagem de Sistemas","Mario de Paula Soares Filho","4"
"TADS N 2º Periodo","TI157 - Redes de Computadores","Pedro Rodrigues Torres Junior","2"
"TADS N 3º Periodo","TI150 - Gestao de Empresas e Empreendedorismo","Paulo Eduardo Sobreira Moraes","4"
"TADS N 3º Periodo","TI151 - Psicologia e Relacoes Interpessoais nas Organizacoes","Maria Valéria da Costa","4"
"TADS N 4º Período","TI141 - Linguagem de Programacao Orientada a Objetos","Rafael Romualdo Wandresen","6"
"TADS N 4º Período","TI143 - Gerencia de Projetos de Software","Rafaela Mantovani Fontana","2"
"TADS N 4º Período","TI145 - Metodologia Orientada a Objetos para Modelagem de Sistemas","Jaime Wojciechowski","4"
"TADS N 4º Período","TI147 - Especificacao de Projeto de Software com UML","Jaime Wojciechowski","6"
"TADS N 4º Período","TI158 - Topicos Especiais em Analise e Desenvolvimento de Sistemas","Rafael Romualdo Wandresen","2"
"TADS N 5º Periodo","TI146 - Qualidade de Software","Rafaela Mantovani Fontana","2"
"TADS N 5º Periodo","TI148 - Inteligencia Computacional Aplicada","Roberto Tadeu Raittz","4"
"TADS N 5º Periodo","TI156 - Topicos de Banco de Dados","Dieval Guizelini","4"
"TADS N 5º Periodo","TI160 - Ergonomia das Interfaces de Aplicacoes","Sandramara Scandelari Kusano de Paula","4"
"TADS N 5º Periodo","TI162 - Desenvolvimento de Aplicacoes Corporativas","Andreia de Jesus","4"
"TADS N 5º Periodo","TI167 - Desenvolvimento de Aplicacoes para WEB II","Razer Anthom Nizer Rojas Montano","4"
"TADS N 6º Período","TI026 - Prototipacao de Aplicativos Moveis","Alessandro Brawerman","2"
"TADS N 6º Período","TI027 - Pratica de Algoritimos","Alessandro Brawerman","2"
"TADS N 6º Período","TI149 - Direito Aplicado","Cibele Fernandes Dias","2"
"TADS N 6º Período","TI155 - Auditoria e Seguranca de sistemas","João Eugênio Marynowski","2"
"TADS N 6º Período","TI159 - Topicos Especiais (Seminarios)","Alessandro Brawerman","4"
"TADS_N_2_Sala","TI139 - Algoritmos e Logica de Programacao II","João Eugênio Marynowski","3"
"TADS_N_2_Sala","TI140 - Linguagem de Programacao Estruturada","Dieval Guizelini","4"
"TADS_N_3_Laboratório","TI107 - Introducao ao Banco de Dados","","2"
"TADS_N_3_Laboratório","TI108 - Estrutura de Dados","","4"
"TADS_N_3_Laboratório","TI142 - Implemantacao de Aplicacao para Computador","","5"
"TADS_N_3_Laboratório","TI161 - Desenvolvimento de Aplicacoes para WEB I","","4"
"TADS_N_3_Sala","TI107 - Introducao ao Banco de Dados","Jeroniza Nunes Marchaukoski","2"
"TADS_N_3_Sala","TI108 - Estrutura de Dados","Andreia de Jesus","4"
"TADS_N_3_Sala","TI142 - Implemantacao de Aplicacao para Computador","Luiz Antonio Pereira Neves","5"
"TADS_N_3_Sala","TI161 - Desenvolvimento de Aplicacoes para WEB I","Alexander Robert Kutzke","4"
"TADS_N_4_Laboratório","TI116 - Sistemas Gerenciadores de Banco de Dados","","4"
"TADS_N_4_Sala","TI116 - Sistemas Gerenciadores de Banco de Dados","Jeroniza Nunes Marchaukoski","4"
"TCI 1º Período","TCI321 - Tecnicas de Expressao Oral","Leticia Salem","2"
"TCI 1º Período","TCI329 - Gestao Empresarial","Maura Regina Franco","2"
"TCI 3º Período","TCI011 - Assessoria de Comunicacao e Imprensa","Juliane Martins","4"
"TCI 5º Período","TCI213 - Orientacao I","Juliane Martins","2"
"TCI 5º Período","TCI310 - Laboratorio de Tecnicas de Comunicacao - Web","Alexander Robert Kutzke","2"
"TCI 5º Período","TCI315 - etica e Comunicacao","Leticia Salem","2"
"TCI 5º Período","TCI316 - Legislacao da Comunicacao","Cibele Fernandes Dias","2"
"TCI 5º Período","TCI326 - Cerimonial, Protocolo e Eventos","Leticia Salem","2"
"TCI 5º Período","TCI328 - Negociacao e Gerenciamento de Conflitos","José Elmar Feger","2"
"TCI_1_A","TCI010 - Laboratorio de Tecnicas de Comunicacao - Imagem","Flavia Lucia Bazan Bespalhok","4"
"TCI_1_A","TCI301 - Oficina de Producao de Textos Informativos","Prof. Comunicacao","4"
"TCI_1_A","TCI305 - Laboratorio de Programacao Visual","Prof. Comunicacao","4"
"TCI_1_B","TCI010 - Laboratorio de Tecnicas de Comunicacao - Imagem","","4"
"TCI_1_B","TCI301 - Oficina de Producao de Textos Informativos","","4"
"TCI_1_B","TCI305 - Laboratorio de Programacao Visual","Prof. Comunicacao","4"
"TCI_1_C","TCI305 - Laboratorio de Programacao Visual","","4"
"TCI_1_D","TCI305 - Laboratorio de Programacao Visual","","4"
"TCI_1_Espanhol","TCI331 - Lingua espanhola I","Lilian dos Santos Silva Ribeiro","4"
"TCI_1_Inglês","TCI341 - Lingua inglesa I","Adriana Sambugaro Brahim","4"
