"Room","Room Capacity","Building"
"A03",50,"Bloco A"
"A04",100,"Bloco A"
"A05",30,"Bloco A"
"A06",50,"Bloco A"
"A07",50,"Bloco A"
"A08",50,"Bloco A"
"A09",65,"Bloco A"
"A12 - Lab Info 1",50,"Bloco A"
"A13",50,"Bloco A"
"A14 - Lab Info 3",50,"Bloco A"
"A15",50,"Bloco A"
"A16 - Lab Info 4",50,"Bloco A"
"A18",50,"Bloco A"
"A19",50,"Bloco A"
"Auditório",80,"Bloco A"
"B Lab Línguas 1",25,"Bloco B"
"B Lab Línguas 2",25,"Bloco B"
"B Lab Línguas 3",25,"Bloco B"
"B Lab Línguas 4",25,"Bloco B"
"B01",50,"Bloco B"
"B02",100,"Bloco B"
"B03",50,"Bloco B"
"B04",50,"Bloco B"
"C01 Mídias",1,"Bloco C"
"C02 Mídias",20,"Bloco C"
"C03",55,"Bloco C"
"C04 - Laboratório Química",50,"Bloco C"
"C05 - Coordenação Petróleo",50,"Bloco C"
"C06 - Laboratório Física e Metrologia",36,"Bloco C"
"C07 - Camarim",25,"Bloco C"
"C08 Auditório",220,"Bloco C"
"C09",50,"Bloco C"
"C10",35,"Bloco C"
"C11 - Lab Exp Corporal",50,"Bloco C"
"C12",40,"Bloco C"
"C13 - Acústica TPC",50,"Bloco C"
"C14",60,"Bloco C"
"Ateliê 1",200,"Bloco D"
"Ateliê 2",200,"Bloco D"
"Ateliê 1_",40,"Bloco D"
